game_index,source_path,local_id,phase_index,phase_name,movement_phase,message_count,orders_power_count,order_count,state_present,phase_keys
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,0,S1901M,True,16,7,22,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,1,F1901M,True,13,7,22,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,2,W1901A,False,0,7,11,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,3,S1902M,True,22,7,33,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,4,F1902M,True,20,7,33,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,5,F1902R,False,0,1,1,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,6,W1902A,False,0,3,3,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,7,S1903M,True,6,7,34,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,8,S1903R,False,0,1,3,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,9,F1903M,True,2,7,33,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,10,F1903R,False,0,1,1,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,11,W1903A,False,0,6,9,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,12,S1904M,True,12,7,34,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,13,S1904R,False,0,1,2,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,14,F1904M,True,25,6,32,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,15,F1904R,False,0,2,3,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,16,W1904A,False,0,1,2,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,17,S1905M,True,5,6,34,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,18,S1905R,False,0,1,1,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,19,F1905M,True,3,6,34,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,20,F1905R,False,0,3,4,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,21,W1905A,False,0,4,5,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,22,S1906M,True,3,6,34,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,23,F1906M,True,2,6,34,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,24,W1906A,False,0,4,4,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,25,S1907M,True,15,6,34,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,26,S1907R,False,0,2,2,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,27,F1907M,True,4,6,33,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,28,F1907R,False,0,1,1,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
0,data/cicero_redacted_games/game_433761_ENGLAND_AG.json,root,29,W1907A,False,0,4,6,True,"[""logs"", ""messages"", ""name"", ""orders"", ""results"", ""state""]"
