candidate_id,game_index,accepted,reason,pair_score
cicero_g000_p003_ENGLAND,0,False,no_strict_divergent_pair,
cicero_g000_p003_GERMANY,0,False,no_strict_divergent_pair,
cicero_g000_p004_ENGLAND,0,False,no_strict_divergent_pair,
cicero_g000_p004_GERMANY,0,False,no_strict_divergent_pair,
cicero_g000_p014_ENGLAND,0,True,accepted,260.0
cicero_g001_p000_ITALY,1,False,no_strict_divergent_pair,
cicero_g001_p003_ITALY,1,True,accepted,180.0
cicero_g002_p003_RUSSIA,2,True,accepted,180.0
cicero_g003_p001_ENGLAND,3,True,accepted,120.0
cicero_g004_p010_GERMANY,4,True,accepted,180.0
cicero_g005_p001_AUSTRIA,5,True,accepted,300.0
cicero_g006_p009_TURKEY,6,True,accepted,420.0
cicero_g007_p001_FRANCE,7,True,accepted,240.0
cicero_g008_p005_ITALY,8,True,accepted,180.0
cicero_g009_p005_ENGLAND,9,False,no_strict_divergent_pair,
cicero_g009_p005_RUSSIA,9,False,no_strict_divergent_pair,
cicero_g009_p001_ENGLAND,9,True,accepted,140.0
cicero_g010_p031_FRANCE,10,True,accepted,180.0
cicero_g011_p001_RUSSIA,11,True,accepted,200.0
cicero_g012_p005_RUSSIA,12,True,accepted,380.0
cicero_g013_p005_RUSSIA,13,False,no_strict_divergent_pair,
cicero_g013_p000_RUSSIA,13,True,accepted,140.0
cicero_g014_p000_RUSSIA,14,True,accepted,140.0
cicero_g015_p003_ENGLAND,15,False,no_strict_divergent_pair,
cicero_g015_p003_GERMANY,15,False,no_strict_divergent_pair,
cicero_g015_p001_ENGLAND,15,True,accepted,180.0
cicero_g016_p004_ITALY,16,True,accepted,180.0
cicero_g017_p001_FRANCE,17,True,accepted,240.0
cicero_g018_p000_ENGLAND,18,False,no_strict_divergent_pair,
cicero_g018_p000_TURKEY,18,False,no_strict_divergent_pair,
cicero_g018_p001_ENGLAND,18,True,accepted,120.0
cicero_g019_p014_ITALY,19,False,no_strict_divergent_pair,
cicero_g019_p014_RUSSIA,19,False,no_strict_divergent_pair,
cicero_g019_p026_ITALY,19,False,reconstruction_failed,
cicero_g019_p026_RUSSIA,19,False,reconstruction_failed,
cicero_g019_p007_ITALY,19,False,no_strict_divergent_pair,
cicero_g019_p007_RUSSIA,19,True,accepted,120.0
cicero_g020_p013_ITALY,20,False,reconstruction_failed,
cicero_g020_p013_TURKEY,20,False,reconstruction_failed,
cicero_g020_p001_ITALY,20,True,accepted,200.0
cicero_g021_p000_FRANCE,21,False,no_strict_divergent_pair,
cicero_g021_p003_FRANCE,21,True,accepted,120.0
cicero_g022_p010_ENGLAND,22,False,no_strict_divergent_pair,
cicero_g022_p003_ENGLAND,22,False,no_strict_divergent_pair,
cicero_g022_p008_ENGLAND,22,True,accepted,260.0
cicero_g023_p000_ITALY,23,False,no_strict_divergent_pair,
cicero_g023_p000_FRANCE,23,False,no_strict_divergent_pair,
cicero_g023_p000_GERMANY,23,False,no_strict_divergent_pair,
cicero_g023_p018_FRANCE,23,False,no_strict_divergent_pair,
cicero_g023_p018_ITALY,23,False,no_strict_divergent_pair,
cicero_g023_p004_ITALY,23,False,no_strict_divergent_pair,
cicero_g023_p009_ITALY,23,True,accepted,160.0
cicero_g024_p018_FRANCE,24,False,reconstruction_failed,
cicero_g024_p013_FRANCE,24,False,reconstruction_failed,
cicero_g024_p019_FRANCE,24,False,reconstruction_failed,
cicero_g024_p013_AUSTRIA,24,False,reconstruction_failed,
cicero_g024_p018_ITALY,24,False,reconstruction_failed,
cicero_g024_p022_FRANCE,24,False,reconstruction_failed,
cicero_g024_p010_FRANCE,24,False,no_strict_divergent_pair,
cicero_g024_p010_ITALY,24,False,no_strict_divergent_pair,
cicero_g024_p022_ITALY,24,False,reconstruction_failed,
cicero_g024_p005_FRANCE,24,True,accepted,120.0
cicero_g025_p005_ENGLAND,25,False,no_strict_divergent_pair,
cicero_g025_p005_TURKEY,25,False,no_strict_divergent_pair,
cicero_g025_p022_ENGLAND,25,False,no_strict_divergent_pair,
cicero_g025_p022_TURKEY,25,False,no_strict_divergent_pair,
cicero_g025_p034_ENGLAND,25,False,reconstruction_failed,
cicero_g025_p024_ENGLAND,25,False,no_strict_divergent_pair,
cicero_g025_p000_ENGLAND,25,False,no_strict_divergent_pair,
cicero_g025_p001_ENGLAND,25,True,accepted,120.0
cicero_g026_p000_GERMANY,26,False,no_strict_divergent_pair,
cicero_g026_p000_ENGLAND,26,False,no_strict_divergent_pair,
cicero_g026_p003_GERMANY,26,True,accepted,180.0
cicero_g027_p003_AUSTRIA,27,True,accepted,280.0
cicero_g028_p003_GERMANY,28,True,accepted,140.0
cicero_g029_p018_RUSSIA,29,True,accepted,120.0
cicero_g030_p001_RUSSIA,30,True,accepted,320.0
cicero_g031_p012_FRANCE,31,True,accepted,140.0
cicero_g032_p003_AUSTRIA,32,True,accepted,220.0
cicero_g033_p009_AUSTRIA,33,True,accepted,220.0
cicero_g034_p004_ENGLAND,34,True,accepted,220.0
cicero_g035_p003_ITALY,35,True,accepted,280.0
cicero_g036_p000_ENGLAND,36,False,no_strict_divergent_pair,
cicero_g036_p000_GERMANY,36,False,no_strict_divergent_pair,
cicero_g036_p001_ENGLAND,36,True,accepted,220.0
cicero_g037_p009_ITALY,37,True,accepted,300.0
cicero_g038_p000_TURKEY,38,False,no_strict_divergent_pair,
cicero_g038_p007_TURKEY,38,False,no_strict_divergent_pair,
cicero_g038_p001_TURKEY,38,True,accepted,200.0
cicero_g039_p004_ENGLAND,39,False,no_strict_divergent_pair,
cicero_g039_p001_ENGLAND,39,True,accepted,180.0
